#,Tag,Games with this tag,Votes for this tag,Tag weight,Price (median),Userscore (median),Owners (median),Playtime (median)
96,Puzzle-Platformer,144,"4,208",29,2.95  $,84%,"1,270,000",02:11
97,Mature,144,"31,485",219,2.99  $,85%,"2,860,000",03:56
98,Competitive,143,"32,014",224,1.99  $,82%,"4,440,000",02:25
99,Procedural Generation,140,"8,522",61,3.91  $,82%,"1,270,000",03:43
100,Post-apocalyptic,138,"41,749",303,3.74  $,79%,"4,130,000",04:11
101,Medieval,137,"23,401",171,2.99  $,82.5%,"4,760,000",05:57
102,Tower Defense,135,"9,960",74,2.49  $,77%,"1,270,000",03:37
103,Character Customization,134,"17,828",133,3.74  $,82%,"4,290,000",05:23
104,Military,132,"26,763",203,2.99  $,85%,"5,710,000",04:00
105,Choices Matter,128,"24,201",189,2.99  $,89%,"2,220,000",04:08
106,4 Player Local,125,"4,623",37,3.24  $,84%,"1,590,000",02:26
107,MMORPG,122,"16,191",133,0.00  $,70%,"4,440,000",02:44
108,Turn-Based Combat,121,"5,348",44,4.99  $,81%,"1,270,000",04:18
109,Beat 'em up,120,"6,988",58,4.59  $,82.5%,"3,330,000",04:23
110,Base-Building,120,"18,258",152,6.41  $,78.5%,"2,860,000",05:41
111,Hidden Object,118,"2,452",21,2.49  $,77%,"950,000",02:30
112,VR Only,118,118,1,7.49  $,81%,"630,000",01:07
113,Cyberpunk,117,"11,570",99,2.99  $,83%,"2,220,000",02:58
114,Metroidvania,116,"7,762",67,4.74  $,85%,"2,540,000",04:06
115,Minimalist,112,"2,660",24,0.99  $,87%,"950,000",01:51
116,Futuristic,111,"12,615",114,4.99  $,82.5%,"4,920,000",03:46
117,World War II,110,"16,384",149,2.49  $,80%,"2,860,000",02:45
118,Dark Fantasy,109,"21,166",194,2.99  $,82%,"3,020,000",04:42
119,Team-Based,109,"49,439",454,1.49  $,82%,"9,840,000",03:42
120,Perma Death,105,"7,888",75,3.74  $,83%,"1,900,000",04:18
121,Robots,103,"15,985",155,3.74  $,84%,"2,220,000",03:23
122,Action-Adventure,102,"4,339",43,2.99  $,83%,"3,810,000",03:35
123,Dating Sim,102,"10,505",103,3.59  $,89%,"1,590,000",03:02
124,Card Game,101,"4,934",49,0.24  $,75%,"1,430,000",01:39
125,Economy,99,"8,143",82,5.99  $,77%,"1,900,000",04:19
126,Top-Down Shooter,98,"3,829",39,2.37  $,83%,"1,590,000",03:43
127,Magic,96,"12,514",130,3.24  $,83%,"3,330,000",04:24
128,Detective,96,"5,854",61,3.61  $,85%,"1,590,000",02:40
129,Turn-Based Tactics,96,"4,255",44,3.86  $,82%,"1,590,000",03:53
130,Education,94,"4,780",51,4.96  $,81%,"2,540,000",03:15
131,Aliens,94,"11,720",125,2.49  $,85%,"4,130,000",03:35
132,Surreal,89,"4,550",51,2.99  $,85.5%,"1,900,000",01:37
133,Twin Stick Shooter,87,"2,799",32,2.99  $,83.5%,"1,270,000",03:18
134,Driving,85,"13,999",165,4.79  $,81%,"3,490,000",04:52
135,City Builder,85,"11,833",139,5.49  $,75%,"2,060,000",04:37
136,Romance,85,"6,598",78,3.14  $,90%,"1,590,000",02:42
137,Multiple Endings,82,"14,963",182,4.04  $,90%,"1,900,000",03:48
138,Parkour,81,"18,876",233,2.49  $,84%,"5,240,000",05:00
139,Steampunk,80,"8,026",100,1.99  $,82%,"3,170,000",03:28
140,Dark Humor,79,"5,800",73,3.09  $,84%,"4,130,000",04:40
141,Music,78,"3,549",46,3.74  $,87%,"1,590,000",01:51
142,Kickstarter,77,"4,070",53,4.99  $,82%,"3,490,000",04:17
143,Illuminati,76,"6,372",84,2.31  $,81%,"2,220,000",03:13
144,Board Game,75,"2,827",38,4.64  $,71%,"1,590,000",03:36
145,Level Editor,75,"2,763",37,3.24  $,88%,"1,900,000",04:03
146,Resource Management,75,"7,531",100,5.99  $,78%,"3,020,000",04:37
147,Flight,75,"4,917",66,2.49  $,79%,"1,900,000",01:29
148,Grand Strategy,73,"10,603",145,5.99  $,83.5%,"4,600,000",05:25
149,1990's,73,"3,237",44,2.44  $,89%,"2,860,000",00:40
150,Choose Your Own Adventure,72,"3,965",55,2.99  $,84%,"1,270,000",04:44
151,Destruction,70,"10,005",143,3.74  $,85%,"3,170,000",02:48
152,Utilities,69,"2,739",40,3.99  $,76%,"1,270,000",00:56
153,Remake,68,"5,594",82,4.99  $,84%,"3,810,000",03:38
154,4X,65,"6,398",98,7.49  $,82.5%,"3,490,000",05:46
155,3D Platformer,65,"2,768",43,2.99  $,81%,"1,900,000",02:24
156,Dystopian,64,"6,624",104,2.99  $,87%,"6,350,000",03:26
157,Real-Time with Pause,64,"5,291",83,3.99  $,85%,"2,700,000",03:56
158,2.5D,63,"2,193",35,4.24  $,83%,"3,170,000",04:00
159,2D Fighter,62,"4,532",73,4.49  $,84%,"2,860,000",04:42
160,Loot,60,"6,869",114,2.99  $,82%,"2,060,000",04:46
161,Real-Time,59,"2,904",49,4.99  $,82%,"3,170,000",04:18
162,Cartoony,58,"6,484",112,1.49  $,84%,"1,590,000",03:47
163,Match 3,57,"1,486",26,2.21  $,76%,"950,000",02:03
164,Arena Shooter,57,"2,768",49,2.74  $,84%,"1,900,000",01:47
165,Abstract,55,"1,414",26,1.14  $,85%,"630,000",00:49
166,Hand-drawn,55,"2,537",46,2.59  $,87%,"2,860,000",03:42
167,Crime,53,"23,797",449,2.79  $,84%,"6,670,000",02:30
168,Stylized,52,"2,764",53,2.44  $,87%,"1,900,000",04:06
169,Lovecraftian,52,"2,782",54,2.99  $,84.5%,"2,860,000",02:10
170,Text-Based,52,616,12,2.99  $,81.5%,"320,000",02:07
171,Design & Illustration,51,"1,697",33,0.00  $,80%,"320,000",00:02
172,CRPG,51,"2,349",46,5.99  $,86%,"1,590,000",04:35
173,Mechs,51,"2,604",51,3.99  $,82.5%,"1,750,000",03:32
174,Episodic,50,"8,682",174,1.49  $,93%,"2,220,000",00:09
175,Cult Classic,50,"3,818",76,2.49  $,87%,"2,700,000",04:18
176,Touch-Friendly,49,"1,187",24,1.59  $,89%,"3,170,000",02:54
177,Blood,48,"3,915",82,2.99  $,83%,"6,030,000",03:10
178,Experimental,48,"1,164",24,1.56  $,75%,"1,110,000",00:28
179,Voxel,47,"3,388",72,3.94  $,80%,"1,900,000",04:31
180,Pirates,46,"4,083",89,3.74  $,82%,"1,900,000",03:04
181,Real Time Tactics,46,"2,672",58,2.49  $,87%,"2,700,000",04:08
182,Tactical RPG,46,"1,461",32,4.79  $,83%,"1,590,000",04:08
183,MOBA,44,"14,204",323,0.00  $,70.5%,"2,860,000",01:05
184,Psychological,44,"3,138",71,1.99  $,85%,"2,220,000",02:03
185,3D Vision,44,"2,111",48,3.36  $,85%,"10,790,000",03:39
186,Clicker,44,"1,554",35,0.24  $,74.5%,"950,000",03:28
187,Interactive Fiction,43,"1,547",36,1.99  $,81%,"1,270,000",03:13
188,Tanks,43,"5,666",132,2.49  $,79%,"3,810,000",02:00
189,Animation & Modeling,42,"5,396",128,0.00  $,80%,"630,000",00:01
190,Ninja,42,"6,050",144,1.69  $,90%,"5,710,000",03:29
191,e-sports,42,"14,610",348,2.99  $,84%,"4,440,000",03:38
192,Naval,42,"2,891",69,2.49  $,74.5%,"1,590,000",03:29
193,Space Sim,42,"5,027",120,4.99  $,75%,"1,900,000",03:36
194,Hex Grid,41,"2,549",62,5.99  $,82%,"2,380,000",07:10
195,Cartoon,41,"4,458",109,0.49  $,92%,"1,430,000",05:20
196,1980s,41,"3,032",74,3.86  $,83%,"1,900,000",00:47
197,Split Screen,41,"2,027",49,2.49  $,85%,"3,490,000",03:35
198,Noir,40,"2,688",67,2.99  $,80.5%,"1,900,000",02:51
199,Wargame,39,"1,155",30,4.99  $,79%,"1,270,000",03:38
200,Drama,39,"2,482",64,2.99  $,92%,"3,170,000",03:05
201,Linear,39,"3,123",80,3.99  $,84%,"6,350,000",03:55
202,Demons,39,"2,656",68,3.36  $,83.5%,"3,490,000",02:31
203,Narration,38,"4,418",116,3.99  $,85%,"3,170,000",02:21
204,Comic Book,37,"3,326",90,3.74  $,86%,"3,170,000",05:45
205,PvE,37,"6,290",170,0.00  $,69%,"9,360,000",03:20
206,Strategy RPG,37,"1,135",31,4.99  $,79.5%,"1,900,000",05:01
207,Superhero,36,"5,527",154,4.36  $,82%,"2,220,000",06:34
208,Rhythm,35,"2,125",61,3.86  $,83.5%,"1,900,000",01:14
209,Alternate History,34,"3,084",91,4.24  $,83%,"4,760,000",04:30
210,Score Attack,34,"1,159",34,2.24  $,88%,"1,900,000",02:16
211,Western,33,"2,557",77,2.49  $,84%,"1,590,000",02:54
212,GameMaker,33,809,25,2.79  $,87%,"1,900,000",03:11
213,Dinosaurs,33,"9,802",297,3.94  $,77%,"2,700,000",01:53
214,Time Travel,33,"4,593",139,2.24  $,87%,"3,810,000",03:40
215,Video Production,32,761,24,0.00  $,71%,"320,000",00:31
216,Dragons,32,"9,935",310,1.99  $,77.5%,"4,440,000",04:03
217,Assassin,32,"9,131",285,2.99  $,84%,"6,820,000",03:45
218,Political,32,"2,686",84,3.39  $,85%,"2,220,000",03:46
219,God Game,32,"2,157",67,4.74  $,81%,"2,860,000",04:32
220,Trading Card Game,32,"1,493",47,0.00  $,73%,"1,270,000",01:30
221,Mouse only,32,"1,183",37,1.26  $,82%,"2,540,000",02:29
222,Psychedelic,31,"1,614",52,2.99  $,86%,"1,270,000",01:32
223,Cold War,31,"1,705",55,3.61  $,86%,"950,000",02:22
224,Hacking,31,"6,393",206,2.49  $,82.5%,"2,540,000",03:36
225,Party-Based RPG,31,"1,472",47,6.39  $,82%,"1,900,000",03:10
226,Gothic,30,"1,678",56,2.99  $,82%,"2,700,000",02:39
227,Cinematic,30,"4,309",144,3.99  $,85%,"6,350,000",04:33
228,Trains,29,"2,343",81,7.99  $,81%,"2,380,000",02:25
229,Swordplay,29,"3,260",112,4.99  $,81%,"5,550,000",04:24
230,Parody,29,"1,436",50,2.99  $,87%,"3,170,000",02:48
